ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2562,2563,2563,2564,2562,2563,2563,2564,2562,2563,2563,2564
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  สหรัฐอเมริกา,"971,239.52","1,067,083.60","1,067,083.60","1,316,842.18",8.02,9.87,9.87,23.41,12.73,14.85,14.85,15.42
  -  จีน,"902,188.15","926,646.80","926,646.80","1,171,777.11",-7.13,2.71,2.71,26.45,11.83,12.90,12.90,13.72
  -  ญี่ปุ่น,"759,787.13","707,272.08","707,272.08","785,902.31",-4.95,-6.91,-6.91,11.12,9.96,9.85,9.85,9.20
  -  เวียดนาม,"375,216.19","346,166.91","346,166.91","393,558.11",-9.84,-7.74,-7.74,13.69,4.92,4.82,4.82,4.61
  -  มาเลเซีย,"321,023.41","270,475.72","270,475.72","380,195.05",-14.08,-15.75,-15.75,40.57,4.21,3.77,3.77,4.45
  -  ฮ่องกง,"362,830.84","350,745.74","350,745.74","365,225.82",-9.69,-3.33,-3.33,4.13,4.76,4.88,4.88,4.28
  -  ออสเตรเลีย,"317,033.10","305,086.24","305,086.24","342,575.73",-8.17,-3.77,-3.77,12.29,4.16,4.25,4.25,4.01
  -  สิงคโปร์,"274,918.76","295,472.54","295,472.54","284,696.33",-7.90,7.48,7.48,-3.65,3.60,4.11,4.11,3.33
  -  อินโดนีเซีย,"281,972.05","236,935.80","236,935.80","279,754.10",-14.11,-15.97,-15.97,18.07,3.70,3.30,3.30,3.28
  -  อินเดีย,"227,875.06","169,685.60","169,685.60","269,671.83",-6.75,-25.54,-25.54,58.92,2.99,2.36,2.36,3.16
  -  ฟิลิปปินส์,"214,223.88","156,167.89","156,167.89","223,193.59",-15.57,-27.10,-27.10,42.92,2.81,2.17,2.17,2.61
  -  กัมพูชา,"221,026.31","188,341.59","188,341.59","222,927.81",-9.64,-14.79,-14.79,18.36,2.90,2.62,2.62,2.61
  -  เกาหลีใต้,"146,628.95","131,746.27","131,746.27","185,336.26",-7.28,-10.15,-10.15,40.68,1.92,1.83,1.83,2.17
  -  เนเธอร์แลนด์,"146,532.12","133,890.73","133,890.73","167,841.84",-12.17,-8.63,-8.63,25.36,1.92,1.86,1.86,1.96
  -  เยอรมนี,"140,504.99","126,137.76","126,137.76","155,257.17",-15.02,-10.23,-10.23,23.09,1.84,1.76,1.76,1.82
  -  ไต้หวัน,"124,171.05","117,804.88","117,804.88","146,661.96",-2.49,-5.13,-5.13,24.50,1.63,1.64,1.64,1.72
  -  เมียนม่า,"135,139.61","117,554.19","117,554.19","136,108.87",-8.80,-13.01,-13.01,15.78,1.77,1.64,1.64,1.59
  -  ลาว,"119,121.91","104,003.15","104,003.15","125,609.67",-9.82,-12.69,-12.69,20.77,1.56,1.45,1.45,1.47
  -  สหราชอาณาจักร,"119,331.06","95,562.80","95,562.80","109,663.07",-8.47,-19.92,-19.92,14.75,1.56,1.33,1.33,1.28
  -  แอฟริกาใต้,"81,540.55","65,812.86","65,812.86","94,540.71",-10.38,-19.29,-19.29,43.65,1.07,0.92,0.92,1.11
  -  เม็กซิโก,"91,357.05","73,436.96","73,436.96","89,937.98",0.98,-19.62,-19.62,22.47,1.20,1.02,1.02,1.05
  -  สหรัฐอาหรับเอมิเรตส์,"75,516.34","66,563.05","66,563.05","87,763.99",-9.75,-11.86,-11.86,31.85,0.99,0.93,0.93,1.03
  -  เบลเยียม,"47,736.86","44,731.55","44,731.55","62,137.37",-0.39,-6.30,-6.30,38.91,0.63,0.62,0.62,0.73
  -  บราซิล,"46,766.89","41,768.72","41,768.72","60,342.77",-1.61,-10.69,-10.69,44.47,0.61,0.58,0.58,0.71
  -  นิวซีแลนด์,"47,901.55","38,639.47","38,639.47","59,421.67",-10.35,-19.34,-19.34,53.78,0.63,0.54,0.54,0.70
  -  ฝรั่งเศส,"57,986.45","48,944.29","48,944.29","58,766.81",-8.10,-15.59,-15.59,20.07,0.76,0.68,0.68,0.69
  -  แคนาดา,"49,217.37","47,907.92","47,907.92","58,285.16",-2.96,-2.66,-2.66,21.66,0.65,0.67,0.67,0.68
  -  อิตาลี,"54,595.89","44,078.59","44,078.59","58,110.95",1.11,-19.26,-19.26,31.83,0.72,0.61,0.61,0.68
  -  ซาอุดีอาระเบีย,"57,250.07","52,427.74","52,427.74","51,500.73",16.34,-8.42,-8.42,-1.77,0.75,0.73,0.73,0.60
  -  ปากีสถาน,"36,587.81","30,298.96","30,298.96","50,831.41",-22.95,-17.19,-17.19,67.77,0.48,0.42,0.42,0.60
  -  สวิตเซอร์แลนด์,"164,286.60","234,941.53","234,941.53","44,491.49",114.48,43.01,43.01,-81.06,2.15,3.27,3.27,0.52
  -  อาร์เจนตินา,"32,397.24","27,137.09","27,137.09","43,552.29",-16.85,-16.24,-16.24,60.49,0.42,0.38,0.38,0.51
  -  ตุรกี,"27,453.72","29,490.54","29,490.54","42,575.96",-20.61,7.42,7.42,44.37,0.36,0.41,0.41,0.50
  -  บังกลาเทศ,"30,587.04","26,562.45","26,562.45","38,866.73",-20.38,-13.16,-13.16,46.32,0.40,0.37,0.37,0.46
  -  อียิปต์,"26,013.19","27,224.85","27,224.85","37,074.77",-14.28,4.66,4.66,36.18,0.34,0.38,0.38,0.43
  -  รัสเซีย,"29,809.39","22,434.16","22,434.16","32,507.68",-20.21,-24.74,-24.74,44.90,0.39,0.31,0.31,0.38
  -  สเปน,"29,663.10","23,053.70","23,053.70","29,162.90",-15.79,-22.28,-22.28,26.50,0.39,0.32,0.32,0.34
  -  อิสราเอล,"22,896.08","18,414.29","18,414.29","26,014.74",-2.38,-19.57,-19.57,41.27,0.30,0.26,0.26,0.30
  -  สาธารณรัฐเช็ก,"22,208.25","19,424.54","19,424.54","24,613.67",-4.39,-12.53,-12.53,26.71,0.29,0.27,0.27,0.29
  -  ชิลี,"16,496.59","11,189.20","11,189.20","19,223.47",-34.00,-32.17,-32.17,71.80,0.22,0.16,0.16,0.23
